name,abbr,code
United States of America,USA,1
Afghanistan,AFG,93
Albania,ALB,355
Åland Islands,ALA,358
Algeria,DZA,213
American Samoa,ASM,1-684
Andorra,AND,376
Angola,AGO,244
Anguilla,AIA,1-264
Antarctica,ATA,672
Antigua & Barbuda,ATG,1-268
Argentina,ARG,54
Armenia,ARM,374
Aruba,ABW,297
Australia,AUS,61
Austria,AUT,43
Azerbaijan,AZE,994
Bahamas,BHS,1-242
Bahrain,BHR,973
Bangladesh,BGD,880
Barbados,BRB,1-246
Belarus,BLR,375
Belgium,BEL,32
Belize,BLZ,501
Benin,BEN,229
Bermuda,BMU,1-441
Bhutan,BTN,975
Bolivia,BOL,591
"Bonaire, Sint Eustatius & Saba",BES,599
Bosnia & Herzegovina,BIH,387
Botswana,BWA,267
Bouvet Island,BVT,47
Brazil,BRA,55
British Indian Ocean Territory,IOT,246
British Virgin Islands,VGB,1-284
Brunei Darussalam,BRN,673
Bulgaria,BGR,359
Burkina Faso,BFA,226
Burundi,BDI,257
Cabo Verde,CPV,238
Cambodia,KHM,855
Cameroon,CMR,237
Canada,CAN,1
Cayman Islands,CYM,1-345
Central African Republic,CAF,236
Chad,TCD,235
Chile,CHL,56
China,CHN,86
Hong Kong,HKG,852
Macao,MAC,853
Christmas Island,CXR,61
Cocos (Keeling) Islands,CCK,61
Colombia,COL,57
Comoros,COM,269
Congo,COG,242
Cook Islands,COK,682
Costa Rica,CRI,506
Croatia,HRV,385
Cuba,CUB,53
Curaçao,CUW,599
Cyprus,CYP,357
Czechia,CZE,420
Côte d'Ivoire,CIV,225
D.R. Congo,COD,243
Denmark,DNK,45
Djibouti,DJI,253
Dominica,DMA,1-767
Dominican Republic,DOM,1-809
Dominican Republic,DOM,1-829
Dominican Republic,DOM,1-849
Ecuador,ECU,593
Egypt,EGY,20
El Salvador,SLV,503
Equatorial Guinea,GNQ,240
Eritrea,ERI,291
Estonia,EST,372
Ethiopia,ETH,251
Falkland Islands (Malvinas),FLK,500
Faroe Islands,FRO,298
Fiji,FJI,679
Finland,FIN,358
France,FRA,33
French Guiana,GUF,594
French Polynesia,PYF,689
French Southern Territories,ATF,262
Gabon,GAB,241
Gambia,GMB,220
Georgia,GEO,995
Germany,DEU,49
Ghana,GHA,233
Gibraltar,GIB,350
Greece,GRC,30
Greenland,GRL,299
Grenada,GRD,1-473
Guadeloupe,GLP,590
Guam,GUM,1-671
Guatemala,GTM,502
Guernsey,GGY,44
Guinea,GIN,224
Guinea-Bissau,GNB,245
Guyana,GUY,592
Haiti,HTI,509
Heard & McDonald Islands,HMD,672
Holy See,VAT,39-06
Honduras,HND,504
Hungary,HUN,36
Iceland,ISL,354
India,IND,91
Indonesia,IDN,62
Iran,IRN,98
Iraq,IRQ,964
Ireland,IRL,353
Isle of Man,IMN,44
Israel,ISR,972
Italy,ITA,39
Jamaica,JAM,1-876
Japan,JPN,81
Jersey,JEY,44
Jordan,JOR,962
Kazakhstan,KAZ,7
Kenya,KEN,254
Kiribati,KIR,686
Kuwait,KWT,965
Kyrgyzstan,KGZ,996
Laos,LAO,856
Latvia,LVA,371
Lebanon,LBN,961
Lesotho,LSO,266
Liberia,LBR,231
Libya,LBY,218
Liechtenstein,LIE,423
Lithuania,LTU,370
Luxembourg,LUX,352
Macedonia,MKD,389
Madagascar,MDG,261
Malawi,MWI,265
Malaysia,MYS,60
Maldives,MDV,960
Mali,MLI,223
Malta,MLT,356
Marshall Islands,MHL,692
Martinique,MTQ,596
Mauritania,MRT,222
Mauritius,MUS,230
Mayotte,MYT,262
Mexico,MEX,52
Micronesia,FSM,691
Moldova,MDA,373
Monaco,MCO,377
Mongolia,MNG,976
Montenegro,MNE,382
Montserrat,MSR,1-664
Morocco,MAR,212
Mozambique,MOZ,258
Myanmar,MMR,95
Namibia,NAM,264
Nauru,NRU,674
Nepal,NPL,977
Netherlands,NLD,31
New Caledonia,NCL,687
New Zealand,NZL,64
Nicaragua,NIC,505
Niger,NER,227
Nigeria,NGA,234
Niue,NIU,683
Norfolk Island,NFK,672
North Korea,PRK,850
Northern Mariana Islands,MNP,1-670
Norway,NOR,47
Oman,OMN,968
Pakistan,PAK,92
Palau,PLW,680
Panama,PAN,507
Papua New Guinea,PNG,675
Paraguay,PRY,595
Peru,PER,51
Philippines,PHL,63
Pitcairn,PCN,870
Poland,POL,48
Portugal,PRT,351
Puerto Rico,PRI,1
Qatar,QAT,974
Romania,ROU,40
Russian Federation,RUS,7
Rwanda,RWA,250
Réunion,REU,262
Saint Barthélemy,BLM,590
Saint Helena,SHN,290
Saint Kitts & Nevis,KNA,1-869
Saint Lucia,LCA,1-758
Saint Martin (French),MAF,590
Saint Pierre & Miquelon,SPM,508
Saint Vincent & the Grenadines,VCT,1-784
Samoa,WSM,685
San Marino,SMR,378
Sao Tome & Principe,STP,239
Saudi Arabia,SAU,966
Senegal,SEN,221
Serbia,SRB,381
Seychelles,SYC,248
Sierra Leone,SLE,232
Singapore,SGP,65
Sint Maarten (Dutch),SXM,1-721
Slovakia,SVK,421
Slovenia,SVN,386
Solomon Islands,SLB,677
Somalia,SOM,252
South Africa,ZAF,27
South Georgia & Sandwich Islands,SGS,500
South Korea,KOR,82
South Sudan,SSD,211
Spain,ESP,34
Sri Lanka,LKA,94
State of Palestine,PSE,970
Sudan,SDN,249
Suriname,SUR,597
Svalbard & Jan Mayen Islands,SJM,47
Swaziland,SWZ,268
Sweden,SWE,46
Switzerland,CHE,41
Syria,SYR,963
Tajikistan,TJK,992
Tanzania,TZA,255
Thailand,THA,66
Timor-Leste,TLS,670
Togo,TGO,228
Tokelau,TKL,690
Tonga,TON,676
Trinidad & Tobago,TTO,1-868
Tunisia,TUN,216
Turkey,TUR,90
Turkmenistan,TKM,993
Turks & Caicos,TCA,1-649
Tuvalu,TUV,688
Uganda,UGA,256
Ukraine,UKR,380
United Arab Emirates,ARE,971
United Kingdom,GBR,44
Uruguay,URY,598
US Virgin Islands,VIR,1-340
Uzbekistan,UZB,998
Vanuatu,VUT,678
Venezuela ,VEN,58
Viet Nam,VNM,84
Wallis & Futuna Islands,WLF,681
Western Sahara,ESH,212
Yemen,YEM,967
Zambia,ZMB,260
Zimbabwe,ZWE,263
